ACJ,ANURADHAPURA,ANURADHAPURA,ANURADHAPURA/LK:ANURADHAPURA,ACJ,Y,NULL,LK,ASIA,ITC3,LK,80.43,8.3,NULL,N
ACK,NANTUCKET,NANTUCKET,NANTUCKET/MA/US:MEMORIAL,ACK,Y,MA,US,NAMER,ITC1,US105,-70.07,41.27,42,N
ACL,AGUACLARA,AGUACLARA,AGUACLARA/CO,ACL,Y,NULL,CO,SAMER,ITC1,CO132,-73,4.75,43,N
ACM,ARICA,ARICA,ARICA/CO,ACM,Y,NULL,CO,SAMER,ITC1,CO132,-71.78,-2.133,NULL,N
ACN,CIUDAD ACUNA,CIUDAD ACUNA,CIUDAD AC/MX:CIUDAD ACUNA INTL,ACN,Y,NULL,MX,NAMER,ITC1,MX168,-100.9,29.3,NULL,N
ACO,ASCONA,ASCONA,ASCONA/CH,ACO,Y,NULL,CH,EUROP,ITC2,CH032,8.767,46.15,NULL,N
ACP,SAHAND,SAHAND,SAHAND/IR:SAHAND AIRPORT,ACP,Y,NULL,IR,MEAST,ITC2,IR120,46.15,37.35,NULL,N
ACR,ARARACUARA,ARARACUARA,ARARACUARA/CO,ACR,Y,NULL,CO,SAMER,ITC1,CO132,-72.3,-0.3833,44,N
ACS,ACHINSK,ACHINSK,ACHINSK/RU,ACS,Y,NULL,RU,EURAS,ITC2,RU143,90.57,56.27,NULL,N
ACT,WACO MUNICIPAL,WACO MUNICIPAL,WACO/TX/US:WACO MNPL,ACT,Y,TX,US,NAMER,ITC1,US107,-97.23,31.62,NULL,N
ACU,ACHUTUPO,ACHUTUPO,ACHUTUPO/PA,ACU,Y,NULL,PA,CAMER,ITC1,PA,-77.97,8.433,NULL,N
ACV,ARCATA,ARCATA,ARCATA/CA/US:EUREKA,ACV,Y,CA,US,NAMER,ITC1,US110,-124.1,40.98,46,N
ACX,XINGYI,XINGYI,XINGYI/CN:XINGYI,ACX,Y,NULL,CN,ASIA,ITC3,CN035,116.6,40.05,NULL,N
ACY,ATLANTIC CTY ACY,ATLANTIC CTY AC,ATLANT/NJ/US:ATLANTIC CTY INTL,AIY,Y,NJ,US,NAMER,ITC1,US105,-74.58,39.47,47,N
ACZ,ZABOL,ZABOL,ZABOL/IR:ZABOL AIRPORT,ACZ,Y,NULL,IR,MEAST,ITC2,IR120,61.54,31.09,NULL,N
ADA,ADANA,ADANA,ADANA/TR,ADA,Y,NULL,TR,EURAS,ITC2,TR101,35.28,36.98,48,N
ADB,IZMIR MENDERES,IZMIR MENDERES,IZMIR/TR:ADNAN MENDERES APT,IZM,Y,NULL,TR,EURAS,ITC2,TR101,27.17,38.28,NULL,N
ADC,ANDAKOMBE,ANDAKOMBE,ANDAKOMBE/PG,ADC,N,NULL,PG,AUSTL,ITC3,PG,154.7,-7.141,NULL,N
ADD,ADDIS ABABA,ADDIS ABABA,ADDIS ABABA/ET:BOLE,ADD,Y,NULL,ET,AFRIC,ITC2,ET,38.8,8.983,49,N
ADE,ADEN,ADEN,ADEN/YE:INTERNATIONAL,ADE,Y,NULL,YE,MEAST,ITC2,YE,45.03,12.83,50,N
ADF,ADIYAMAN,ADIYAMAN,ADIYAMAN/TR:ADIYAMAN,ADF,Y,NULL,TR,EURAS,ITC2,TR101,38.46,37.73,NULL,N
ADG,ADRIAN,ADRIAN,ADRIAN/MI/US:LENAWEE COUNTY,ADG,Y,MI,US,NAMER,ITC1,US105,-84.03,41.9,NULL,N
ADH,ALDAN,ALDAN,ALDAN/RU,ADH,Y,NULL,RU,EURAS,ITC2,RU145,125.4,58.6,NULL,N
ADI,ARANDIS,ARANDIS,ARANDIS/NA,ADI,Y,NULL,NA,AFRIC,ITC2,NA004,15,-22.4,51,N
ADJ,AMMAN CIVIL MARKA,AMMAN CIVIL MAR,AMMAN C/JO:CIVIL MARKA AIRPORT,AMM,Y,NULL,JO,MEAST,ITC2,JO068,35.98,31.97,NULL,N
ADK,ADAK ISLAND,ADAK ISLAND,ADAK ISLAND/AK/US:ADAK ISLAND,ADK,Y,AK,US,NAMER,ITC1,US112,-176.7,51.87,52,N
ADL,ADELAIDE,ADELAIDE,ADELAIDE/SA/AU,ADL,Y,SA,AU,AUSTL,ITC3,AU009,138.5,-34.95,53,N
ADM,ARDMORE MUNICIPAL,ARDMORE MUNICIP,ARDMORE/OK/US:MUNICIPAL,ADM,Y,OK,US,NAMER,ITC1,US107,-97.02,34.3,NULL,N
ADN,ANDES,ANDES,ANDES/CO,ADN,Y,NULL,CO,SAMER,ITC1,CO132,-75.88,5.667,NULL,N
ADO,ANDAMOOKA,ANDAMOOKA,ANDAMOOKA/SA/AU,ADO,Y,SA,AU,AUSTL,ITC3,AU009,137.2,-31.02,55,N
ADP,AMPARA,AMPARA,AMPARA/LK:AMPARA,ADP,Y,NULL,LK,ASIA,ITC3,LK,81.63,7.336,56,N
ADQ,KODIAK,KODIAK,KODIAK/AK/US:KODIAK APT,ADQ,Y,AK,US,NAMER,ITC1,US111,-152.4,57.8,NULL,N
ADR,ANDREWS,ANDREWS,ANDREWS/SC/US,ADR,Y,SC,US,NAMER,ITC1,US105,-79.57,33.45,58,N
ADS,DALLAS ADDISON,DALLAS ADDISON,DALLAS/:ADDISON AIRPORT,DFW,Y,TX,US,NAMER,ITC1,US107,-96.85,32.85,NULL,N
ADT,ADA,ADA,ADA/OK/US,ADT,Y,OK,US,NAMER,ITC1,US107,-96.68,34.77,NULL,N
ADU,ARDABIL,ARDABIL,ARDABIL/IR,ADU,Y,NULL,IR,MEAST,ITC2,IR120,48.3,30.25,NULL,N
ADV,ANDOVER,ANDOVER,ANDOVER/GB,ADV,Y,NULL,GB,EUROP,ITC2,GB053,-1.467,51.22,NULL,N
ADW,CAMP SPRINGS ADW,CAMP SPRINGS AD,CAMP SPRINGS/MD/US:ANDREWS AFB,ADW,Y,MD,US,NAMER,ITC1,US105,-76.92,38.8,NULL,N
