^*A^0^STAR ALLIANCE^^*A
DBB^2A^0^DEUTSCHE BAHN AG^DEUTSCHE BAHN^2A
^2C^0^SNCF^^2C
EIX^2E^0^SMOKEY BAY AIR^EI AIR EXPORT^2E
FTA^2F^517^FRONTIER FLYING SERVICE^FRONTIER^2F
^2G^0^NORTHWEST SEAPLANES^^2G
HML^2H^0^HAMSAL AIR SERVICES^^2H
SRU^2I^156^STAR PERU^^2I
VBW^2J^226^AIR BURKINA^AIR BURKINA^2J
GLG^2K^547^AEROLINEAS GALAPAGOS^AEROGAL^2K
OAW^2L^102^HELVETIC AIRWAYS^2L/HELVETIC^2L
MDV^2M^860^MOLDAVIAN AIRLINES^MOLDAVIAN AIR^2M
NTJ^2N^121^NEXTJET^NEXTJET^2N
RNE^2O^0^REDEMPTION^^2O
GAP^2P^0^AIR PHILIPPINES^AIR PHILIPPIN^2P
ETS^2Q^0^AVITRANS NORDIC^^2Q
VRR^2R^830^VIA RAIL CANADA INC^VIA RAIL^2R
^2S^0^SUNNY AIRWAYS^ISLAND EXP^2S
ANH^2T^311^ALAJNIHAH AIR TRANSPORT^^2T
ERO^2U^383^ERO SUN D'OR^SUN D OR^2U
^2V^554^AMTRAK^AMTRAK^2V
^2W^227^WELCOME AIR^WELCOME AIR^2W
XYA^2X^799^AMADEUS TWO^AMADEUS TWO^2X
^2Y^0^AMADEUS PDF 2Y^AIR ANDAMAN^2Y
TTA^2Z^0^TTA^^2Z
^3A^28^CHU KONG PASSENGER TRANSPORT^MAFIRA AIR^3A
JBR^3B^0^JOB AIR^JOB AIR^3B
^3C^310^REGIONSAIR^CORPORATE EXP^3C
DNM^3D^490^DENIM AIR^DENIM AIR^3D
OMQ^3E^0^MULTI AERO^AIR BRETAGNE^3E
^3F^0^PACIFIC AIRWAYS^^3F
AIE^3H^466^AIR INUIT^AIR INUIT^3H
LFM^3I^0^AIRLIFT SERVICE^VIRGIN AUSTRA^3I
JBW^3J^535^JUBBA AIRWAYS (KENYA)^ZIP AIR^3J
JSA^3K^375^JETSTAR ASIA^JETSTAR ASIA^3K
^3L^0^INTERSKY LUFTFAHRT^ INTERSKY^3L
GFT^3M^449^VPAA^VPAA^3M
URG^3N^746^AIR URGA^AIRVANTAGE^3N
^3O^452^AIR ARABIA MAROC^^3O
^3P^253^TIARA AIR ARUBA^TIARA AIR^3P
^3Q^0^CARIB AVIATION LIMITED^YUNNAN AIR^3Q
GAI^3R^520^MOSKOVIA AIRLINES JSC^GROMOVAIRLINE^3R
^3S^875^AIR ANTILLES EXPRESS^AIR ANTILLES^3S
URN^3T^359^TURAN AIR^TURAN AIR^3T
^3U^876^SICHUAN AIRLINES^SICHUAN AIR^3U
TAY^3V^756^TNT AIRWAYS^VIKING AIR^3V
^3W^482^AVIA CONSULT^EUROMANX^3W
JAC^3X^0^JAPAN AIR COMMUTER^J.AIR COMMU^3X
KAE^3Y^0^KARTIKA AIRLINES^KARTIKA AIR^3Y
^3Z^29^EVERTS AIR^^3Z
^4A^0^AVIANA AIRWAYS^^4A
^4B^184^BOUTIQUE AIR^OLSON AIR^4B
ARE^4C^35^AIRES^^4C
ASD^4D^903^AIR SINAI^AIR SINAI^4D
TNR^4E^0^TANANA AIR SERVICE^TANANA AIR^4E
ECE^4F^0^AIR CITY^AIR-CITY^4F
GZP^4G^579^GAZPROMAVIA^^4G
^4H^584^UNITED AIRWAYS BANGLADESH^TRANS PACIFIC^4H
IZM^4I^597^IHY IZMIR HAVAYOLLARI^^4I
^4J^413^SOMON AIR^SOMON AIR^4J
KBA^4K^0^KENN BOREK AIR^KENN BOREK^4K
GIL^4L^764^GEORGIAN INTERNATIONAL AIRLINES^GEORGIAN^4L
^4M^469^LANARGENTINA^LANARGENTINA^4M
^4N^287^AIR NORTH^AIR NORTH^4N
AIJ^4O^0^ABC AEROLINEAS^^4O
^4P^0^SOUTHERN STAR AIRLINES^^4P
SFW^4Q^741^SAFI AIRWAYS^SAFI AIRWAYS^4Q
HHI^4R^0^HAMBURG INTERNATIONAL^HAMBURG INTL^4R
STB^4S^0^STAR AIRWAYS^AEROHONDURAS^4S
^4T^0^BELAIR AIRLINES^RUSSIAN AIR^4T
GWI^4U^51^GERMANWINGS^GERMANWINGS^4U
^4V^408^LACBRAVO^^4V
VNA^4W^0^WARBELOWS AIR VENTURES^WARBELOW^4W
ANX^4X^0^ATLANTIC EXPRESS AIRLINE^^4X
^4Y^0^YUTE AIR ALASKA^^4Y
^4Z^749^SOUTH AFRICAN AIRLINK^SA AIRLINK^4Z
^5B^0^CHANCHANGI AIRLINES^^5B
^5C^0^NATURE AIR^NATURE AIR^5C
SLI^5D^642^AEROLITORAL^^5D
^5E^0^SIAM GA^BASE REGIONAL^5E
CIR^5F^0^ARCTIC CIRCLE AIR^BONAIRE AIR^5F
^5G^0^540 GHANA^SKYSERVICE^5G
FFV^5H^540^FIVE FOURTY AVIATION^KATO AIR^5H
GRG^5I^936^AIR G^AIR G^5I
CEB^5J^203^CEBU AIR^CEBU AIR^5J
ODS^5K^654^HI FLY TRANSPORTES AEREO^SAC ODESSA^5K
^5L^275^AEROSUR^AEROSUR^5L
MNT^5M^0^MONTSERRAT AIRWAYS^SIBAVIATRANS^5M
AUL^5N^316^JSC NORDAVIA^JSC NORDAVIA^5N
FPO^5O^558^EUROPE AIRPOST^EUROP AIRPOST^5O
PCP^5P^676^AEROLINEA PRINCIPAL CHILE^AEROLINEA PR^5P
BEA^5Q^567^BQB LINEAS AEREAS^BEST AVIATION^5Q
^5R^0^KARTHAGO AIRLINES^KARTHAGO AIR^5R
PSV^5S^0^SERVICIOS AEREOS PROFESIONALES^^5S
^5T^518^CANADIAN NORTH^CANADIANNORTH^5T
CHG^5U^0^ROYAL BELAU AIRWAYS^L A D E^5U
^5V^0^LVIV AIRLINES^LVIV AIRLINES^5V
AEU^5W^0^ASTRAEUS^EXECUTIVE EXP^5W
^5Y^0^EXPRESS RAIL LINK^EXPRESS RAIL^5Y
^5Z^541^BISMILAH AIRLINES^BISMILAH AIRL^5Z
CHP^6A^95^AVIACSA^AVIACSA^6A
BLX^6B^951^TUIFLY NORDIC^BRITANNIA^6B
^6C^586^AIR TIMOR^^6C
TVQ^6D^0^TRAVEL SERVICE^ALASKA ISL^6D
^6E^0^INDIGO^MALMO AVIAT^6E
^6F^0^MAT AIRWAYS^^6F
FDY^6G^504^SUN AIR EXPRESS LLC^AIR WALES^6G
ISR^6H^818^ISRAIR AIRLINES^ISRAIR AIRLIN^6H
^6I^0^FLY 6IX^^6I
^6J^0^JUBBA AIRWAYS (SOMALIA)^^6J
KTC^6K^0^KYRGYZ TRANS AVIA^KORSAR^6K
AKK^6L^709^AKLAK AIR^AKLAK AIR^6L
^6M^0^AIR MINAS LINHAS AEREAS^^6M
^6O^0^AIR SATELLITE^^6O
VOS^6P^478^GRYPHON AIRLINE^CLUBAIR^6P
SAW^6Q^386^CHAM WINGS AIRLINES^SLOVAK ARLNS^6Q
DRU^6R^0^MIRNY AIR^^6R
ESC^6S^612^EL SOL DE AMERICA^KATO AIRLINES^6S
^6T^373^AIR MANDALAY^AIR MANDALAY^6T
ACX^6U^0^ACG AIR CARGO GERMANY^AIR UKRAINE^6U
MRW^6V^0^MARS RK^MARS RK^6V
^6W^26^SARATOV AIRLINES^^6W
XYB^6X^172^AMADEUS SIX^AMADEUS SIX^6X
LTC^6Y^0^SMARTLYNX AIRLINES^^6Y
^6Z^0^EURASIA AIR^^6Z
NXA^7A^0^AIR NEXT^HAINES AIR^7A
^7B^0^MOSCOW AIRLINES^^7B
JJA^7C^806^JEJU AIR^COL.PACIFIC^7C
UDC^7D^897^DONBASSAERO AIRLINES^DONBASSAERO^7D
AWU^7E^0^SYLT AIR GMBH^^7E
FAB^7F^245^FIRST AIR^FIRST AIR^7F
^7G^922^STAR FLYER^^7G
ERH^7H^808^ERA AVIATION^ERA AVIATION^7H
^7I^958^INSEL AIR INTERNATIONAL^INSEL AIR^7I
TJK^7J^502^TAJIK AIR^TAJIK AIR^7J
KGL^7K^313^KOGALYMAVIA AIRLINES^KOGALYMAVIA^7K
CRN^7L^164^AEROCARIBBEAN^^7L
MYI^7M^10^MAYAIR^AEROMONTERR^7M
^7O^0^TRAVEL SERVICE LEGOFORGALMI^^7O
PST^7P^0^AIR PANAMA^APA INTL^7P
^7Q^0^NYASA EXPRESS^^7Q
RLU^7R^362^RUSLINE^RUSLINE^7R
XYW^7S^792^AMADEUS PDF 7S^AMADEUS 7S^7S
^7T^0^TRENITALIA^^7T
ERG^7U^765^AVIAENERGO^^7U
^7V^739^FEDERAL AIRLINES^FEDERAL AIRL^7V
WRC^7W^461^WIND ROSE AVIATION^WIND ROSE^7W
XYC^7X^791^AMADEUS SEVEN^AMADEUS SEVEN^7X
PWD^7Y^0^PAN AM WORLD AIRWAYS DOMINICANA^^7Y
^7Z^159^HALCYON AIR CABO VERDE^HALCYON AIR^7Z
^8A^380^ATLAS BLUE^^8A
BCC^8B^820^BUSINESS AIR^CARRIBEAN AIR^8B
DXH^8C^883^EAST STAR AIRLINES^EAST STAR^8C
^8D^0^SERVANT AIR^^8D
BRG^8E^0^BERING AIR^BERING AIR^8E
STP^8F^470^STP AIRWAYS^STP AIRWAYS^8F
^8G^0^GIRJET^GIRJET^8G
HWY^8H^0^HIGHLAND AIRWAYS^HIGHLAND AIR^8H
^8I^0^MYAIR.COM^MYAIR.COM^8I
^8J^0^JET4YOU.COM^JET4YOU.COM^8J
^8L^859^LUCKY AIR^^8L
^8M^599^MYANMAR AIRWAYS INTL^MYANMAR^8M
^8N^0^BARENTS AIRLINK^^8N
^8O^222^WEST COAST AIR^^8O
PCO^8P^905^PACIFIC COASTAL AIRLINES^PAC.COASTAL^8P
OHY^8Q^0^ONUR AIR^^8Q
^8R^300^SOL LINEAS AEREAS^SOL LINEAS^8R
^8S^802^SHUN TAK CHINA^^8S
^8T^744^AIR TINDI LTD^^8T
AAW^8U^546^AFRIQIYAH AIRWAYS^AFRIQIYAH AIR^8U
^8V^0^WRIGHT AIR SERVICES^WRIGHT AIR^8V
PWF^8W^0^PRIVATE WINGS^PRIVATE WINGS^8W
XYD^8X^798^AMADEUS EIGHT^AMADEUS EIGHT^8X
PBU^8Y^0^AIR BURUNDI^AIRBURUNDI^8Y
WVL^8Z^777^WIZZ AIR BULGARIA AIRLINES^ALASA ISLAND^8Z
^9A^0^ALADIA AIRLINES^AIRATLANTIC^9A
^9B^450^ACCESRAIL^ACCESRAIL^9B
^9C^89^SPRING AIRLINES^HAITI CARIBB^9C
^9D^371^TOUMAI AIR TCHAD^TOUMAI AIR^9D
FLG^9E^430^PINNACLE AIRLINES^EXPRESS AIR^9E
^9F^814^EUROSTAR^EUROSTAR UK^9F
^9G^0^9G RAIL LTD^^9G
^9H^493^DUTCH ANTILLES EXPRESS^DAE^9H
HTA^9I^0^HELITRANS AS^^9I
DAN^9J^0^DANA AIRLINES^^9J
KAP^9K^306^CAPE AIR^CAPE AIR^9K
^9L^426^COLGAN AIR^COLGAN AIR^9L
GLR^9M^634^CENTRAL MOUNTAIN AIR^CNTRL MTN AIR^9M
^9O^357^NATIONAL AIRWAYS CAMEROON^AIRCAMEROON^9O
PTR^9P^0^PETRA AIRLINES^^9P
PBA^9Q^543^PB AIR^PB AIR^9Q
NSE^9R^0^SATENA^^9R
XYX^9S^793^AMADEUS PDF 9S^AMADEUS 9S^9S
ABS^9T^556^ACT HAVAYOLLARI^ATHABASKA^9T
MLD^9U^572^AIR MOLDOVA^AIR MOLDOVA^9U
ROI^9V^742^AVIOR^AVIOR^9V
JAI^9W^589^JET AIRWAYS^JET AIRWAYS^9W
CXR^9X^0^CONGO EXPRESS^NEW AXIS AIR^9X
^9Y^0^MDLR AIRLINES^MDLR AIRLINES^9Y
^A0^0^L'AVION^ELYSAIR^A0
^A1^0^G2 SWITCH WORKS^^A1
EXD^A2^529^CIELOS DEL PERU^^A2
AEE^A3^390^AEGEAN AIRLINES^AEGEAN AIR^A3
^A4^702^AEROCOMERCIAL ORIENTE NORTE^SOUTH WINDS^A4
RLA^A5^163^AIRLINAIR^AIRLINAIR^A5
LPV^A6^527^AIR ALPS AVIATION^ALPS AVIATION^A6
MPD^A7^352^AIR COMET^AIR COMET^A7
^A8^0^BENIN GOLF AIR^BENIN GOLF^A8
^A9^606^GEORGIAN AIRWAYS^ARIZENA AIR^A9
AAL^AA^1^AMERICAN AIRLINES^AMERICAN^AA
AAF^ZI^439^AIGLE AZUR^AIGLE AZUR^AAF
AAL^AA^1^AMERICAN AIRLINES^AMERICAN^AAL
AAR^OZ^988^ASIANA AIRLINES^ASIANA^AAR
AAW^8U^546^AFRIQIYAH AIRWAYS^AFRIQIYAH AIR^AAW
BER^AB^745^AIR BERLIN^AIR BERLIN^AB
ABL^BX^982^AIR BUSAN^AIR BUSAN^ABL
ABS^9T^556^ACT HAVAYOLLARI^ATHABASKA^ABS
ACA^AC^14^AIR CANADA^AIR CANADA^AC
ACA^AC^14^AIR CANADA^AIR CANADA^ACA
ACI^SB^63^AIRCALIN^CAL.INT^ACI
ACL^FS^0^ITALI AIRLINES^MISSIONARY^ACL
ACY^EV^862^ATLANTIC SOUTHEAST^^ACY
^AD^577^AZUL LINHAS AEREAS BRASILEIRAS^AZUL LINHAS^AD
ADH^AP^867^AIRONE S.P.A.^ALIADRATICA^ADH
ADO^HD^0^HOKKAIDO INTERNATIONAL^^ADO
ADR^JP^165^ADRIA AIRWAYS^ADRIA^ADR
MDA^AE^803^MANDARIN AIRLINES^MANDARIN AIR^AE
AEA^UX^996^AIR EUROPA^AIR EUROPA^AEA
AEE^A3^390^AEGEAN AIRLINES^AEGEAN AIR^AEE
AEU^5W^0^ASTRAEUS^EXECUTIVE EXP^AEU
AEW^VV^870^AEROSVIT AIRLINES^AEROSWEET^AEW
AFR^AF^57^AIR FRANCE^AIR FRANCE^AF
AFG^FG^255^ARIANA AFGHAN AIRLINES^ARIANA^AFG
AFL^SU^555^AEROFLOT^AEROFLOT^AFL
AFR^AF^57^AIR FRANCE^AIR FRANCE^AFR
AGN^GN^185^AIR GABON^AIR GABON^AGN
AGT^1A^790^AMADEUS^AMADEUS^AGT
DAH^AH^124^AIR ALGERIE^AIR ALGERIE^AH
AHY^J2^771^AZERBAIJAN AIRLINES^AZERBAIJAN AI^AHY
AIC^AI^98^AIR INDIA LIMITED^AIR INDIA^AI
AIA^U3^0^AVIES^^AIA
AIC^AI^98^AIR INDIA LIMITED^AIR INDIA^AIC
AIE^3H^466^AIR INUIT^AIR INUIT^AIE
AIJ^4O^0^ABC AEROLINEAS^^AIJ
AIZ^IZ^238^ARKIA^ARKIA ISRAELI^AIZ
^AJ^0^AEROCONTRACTORS^AEROCONTRACTO^AJ
AJM^JM^201^AIR JAMAICA^AIR JAMAICA^AJM
AJX^NQ^0^AIR JAPAN COMPANY LTD^^AJX
AXM^AK^807^AIRASIA SDN BHD^AIRASIA^AK
AKK^6L^709^AKLAK AIR^AKLAK AIR^AKK
AKW^G6^397^ANGKOR AIRWAYS^ANGKOR AIR^AKW
^AL^0^MIDWEST CONNECT^ASTRAL AVIA^AL
ALK^UL^603^SRILANKAN AIRLINES^SRILANKAN AIR^ALK
ALX^EO^663^HEWA BORA AIRWAYS^HEWA BORA^ALX
AMX^AM^139^AEROMEXICO^AEROMEXICO^AM
AMC^KM^643^AIR MALTA^AIR MALTA^AMC
AML^QM^167^AIR MALAWI^AIR MALAWI^AML
AMU^NX^675^AIR MACAU^AIR MACAU^AMU
AMV^YJ^0^AMC AIRLINES^^AMV
AMX^AM^139^AEROMEXICO^AEROMEXICO^AMX
ANA^NH^205^ALL NIPPON AIRWAYS^ALL NIPPON^ANA
ANG^PX^656^AIR NIUGINI^AIR NIUGINI^ANG
ANH^2T^311^ALAJNIHAH AIR TRANSPORT^^ANH
ANO^TL^935^AIRNORTH^AIRNORTH^ANO
ANS^YW^694^AIR NOSTRUM^AIR NOSTRUM^ANS
ANV^LW^568^PACIFIC WINGS^AIR NEVADA^ANV
ANX^4X^0^ATLANTIC EXPRESS AIRLINE^^ANX
ANZ^NZ^86^AIR NEW ZEALAND^NEW ZEALAND^ANZ
^AO^0^AVIANOVA LCC^AUSTRALIAN^AO
AOG^NJ^592^AERO VIP^^AOG
ADH^AP^867^AIRONE S.P.A.^ALIADRATICA^AP
APD^1Z^0^FANTASIA INFO NETWORK LT^ASIA PACIFIC^APD
MPJ^AQ^0^MAP MANAGEMENT PLANNING^^AQ
ARG^AR^44^AEROLINEAS ARGENTINAS^ARGENTINAS^AR
ARA^W3^725^ARIK AIR^ARIK AIR^ARA
ARE^4C^35^AIRES^^ARE
ARG^AR^44^AEROLINEAS ARGENTINAS^ARGENTINAS^ARG
ASA^AS^27^ALASKA AIRLINES^ALASKA A/L^AS
ASA^AS^27^ALASKA AIRLINES^ALASKA A/L^ASA
ASD^4D^903^AIR SINAI^AIR SINAI^ASD
ASH^YV^533^MESA AIRLINES^MESAAIRLINE^ASH
ASN^IU^0^HEVI LIFT (PNG) PTY LTD^AIR STRAUBING^ASN
RAM^AT^147^ROYAL AIR MAROC^R.AIR MAROC^AT
ATA^X6^889^AIRLINES REPORTING CORP.^ARC^ATA
ATC^TC^197^AIR TANZANIA^^ATC
AUT^AU^143^AUSTRAL LINEAS AEREAS^AUSTRAL L.A^AU
AUA^OS^257^AUSTRIAN AIRLINES^AUSTRIANAIR^AUA
AUB^IQ^614^AUGSBURG AIRWAYS^^AUB
AUL^5N^316^JSC NORDAVIA^JSC NORDAVIA^AUL
AUR^GR^924^AURIGNY AIR SERVICES^AURIGNY AIR^AUR
AUT^AU^143^AUSTRAL LINEAS AEREAS^AUSTRAL L.A^AUT
AVA^AV^134^AVIANCA^AVIANCA^AV
AVA^AV^134^AVIANCA^AVIANCA^AVA
AVN^NF^218^AIR VANUATU^AIR VANUATU^AVN
^AW^364^RUTAS AEREAS DE VENEZUELA RAV^^AW
AWI^ZW^303^AIR WISCONSIN^AIRWISCONSI^AWI
AWQ^QZ^975^PT INDONESIA AIRASIA^PTINDAIRASIA^AWQ
AWU^7E^0^SYLT AIR GMBH^^AWU
LOF^AX^414^AMERICAN CONNECTION^AA CONNECTION^AX
AXM^AK^807^AIRASIA SDN BHD^AIRASIA^AXM
FIN^AY^105^FINNAIR^FINNAIR^AY
AZA^AZ^55^ALITALIA C.A.I. S.P.A.^ALITALIA SPA^AZ
AZA^AZ^55^ALITALIA C.A.I. S.P.A.^ALITALIA SPA^AZA
AZW^UM^168^AIR ZIMBABWE^^AZW
^B1^248^CIONS SOFTWARE^^B1
BRU^B2^628^BELAVIA^BELAVIA^B2
BLV^B3^208^BELLVIEW AIRLINES^BELLVIEW AIR^B3
TAN^B4^698^ZANAIR^ZANAIR^B4
^B5^305^EAST AFRICAN SAFARI AIR^SAFARI AIR^B5
JBU^B6^279^JETBLUE AIRWAYS^JETBLUE AIR^B6
UIA^B7^525^UNI AIRWAYS^UNI AIRWAYS^B7
ERT^B8^637^ERITREAN AIRLINES^ERITREAN AIR^B8
^B9^491^IRAN AIR TOURS^^B9
BAW^BA^125^BRITISH AIRWAYS^BRITISH A/W^BA
BAW^BA^125^BRITISH AIRWAYS^BRITISH A/W^BAW
^BB^0^SEABORNE AIRLINES^SEABORNE^BB
BBC^BG^997^BIMAN BANGLADESH AIRLINE^BIMAN^BBC
SKY^BC^0^SKYMARK AIRLINES^^BC
BCI^SI^821^BLUE ISLANDS^BLUE ISLANDS^BCI
BCY^WX^689^CITYJET^CITYJET^BCY
BMA^BD^236^BRITISH MIDLAND INTERNATIONAL^BRITMIDLAND^BD
BEE^BE^267^FLYBE^BRIT EUROP^BE
BEA^5Q^567^BQB LINEAS AEREAS^BEST AVIATION^BEA
BEE^BE^267^FLYBE^BRIT EUROP^BEE
BER^AB^745^AIR BERLIN^AIR BERLIN^BER
^BF^0^VINCENT AVIATION^^BF
BBC^BG^997^BIMAN BANGLADESH AIRLINE^BIMAN^BG
^BH^993^HAWKAIR^HAWKAIR^BH
BHS^UP^111^BAHAMASAIR^BAHAMASAIR^BHS
RBA^BI^672^ROYAL BRUNEI^ROYALBRUNEI^BI
BIH^BS^0^BRITISH INTERNATIONAL^GAMAIR LTD.^BIH
LBT^BJ^796^NOUVELAIR^NOUVELAIR^BJ
^BK^866^OKAY AIRWAYS^PARADISE ISL^BK
BKP^PG^829^BANGKOK AIRWAYS^BANGKOK AIR^BKP
PIC^BL^550^JETSTAR PACIFIC AIRLINES^PACIFIC AIR^BL
BLF^KF^142^BLUE1^BLUE 1^BLF
BLS^JV^632^BEARSKIN AIRLINES^BEARSKIN AIR^BLS
BLV^B3^208^BELLVIEW AIRLINES^BELLVIEW AIR^BLV
BLX^6B^951^TUIFLY NORDIC^BRITANNIA^BLX
OBE^BM^0^AIR BEE SPA^^BM
BMA^BD^236^BRITISH MIDLAND INTERNATIONAL^BRITMIDLAND^BMA
BMI^WW^0^BMIBABY^^BMI
BMJ^CH^872^BEMIDJI AIRLINES^BEMIDJI^BMJ
^BN^937^BAHRAIN AIR^HORIZON AIRLI^BN
BOT^BP^636^AIR BOTSWANA^AIR BOTSWAN^BOT
BOT^BP^636^AIR BOTSWANA^AIR BOTSWAN^BP
BPA^BV^4^BLUE PANORAMA AIRLINES^BLUE PANORAMA^BPA
BKV^BQ^616^BUKOVYNA AIRLINES^^BQ
EVA^BR^695^EVA AIR^EVA AIRWAYS^BR
BRG^8E^0^BERING AIR^BERING AIR^BRG
BRQ^UZ^928^BURAQ AIR^BURAQ AIR^BRQ
BRU^B2^628^BELAVIA^BELAVIA^BRU
BIH^BS^0^BRITISH INTERNATIONAL^GAMAIR LTD.^BS
BTI^BT^657^AIR BALTIC^AIR BALTIC^BT
BTI^BT^657^AIR BALTIC^AIR BALTIC^BTI
^BU^0^COMPAGNIE AFRICAINE D'AVIATION^SAS NORWAY^BU
BPA^BV^4^BLUE PANORAMA AIRLINES^BLUE PANORAMA^BV
BVT^J8^801^BERJAYA AIR^BERJAYA AIR^BVT
BWA^BW^106^CARIBBEAN AIRLINES^CARIBBEAN AIR^BW
BWA^BW^106^CARIBBEAN AIRLINES^CARIBBEAN AIR^BWA
ABL^BX^982^AIR BUSAN^AIR BUSAN^BX
TOM^BY^754^THOMSON AIRWAYS LTD^BRITANNIA^BY
BBG^BZ^0^BLUE BIRD AIRWAYS^^BZ
BZH^DB^750^BRIT AIR^BRIT AIR^BZH
CLW^C0^0^CENTRALWINGS^^C0
^C1^322^TECTIMES SUDAMERICA^^C1
^C2^304^CEIBA INTERCONTINENTAL^CEIBA^C2
^C3^0^CONTACT AIR^^C3
^C4^665^ALMA DE MEXICO^ALMADEMEXICO^C4
UCA^C5^841^CHAMPLAIN ENTERPRISES^^C5
CJA^C6^0^CANJET AIRLINES^BRIGHT ARL^C6
RLE^C7^0^RLA RICO LINHAS AREAS^^C7
^C8^498^CRONOS AIRLINES^^C8
RUS^C9^251^CIRRUS AIRLINES^CIRRUS AIR^C9
CCA^CA^999^AIR CHINA^AIR CHINA^CA
CAL^CI^297^CHINA AIRLINES^CHINA AIR^CAL
CAV^MO^622^CALM AIR INTERNATIONAL^CALM AIR INTL^CAV
CAW^MN^161^COMAIR LTD^COMAIR^CAW
CAY^KX^378^CAYMAN AIRWAYS^CAYMAN AIR^CAY
SAY^CB^969^SCOTAIRWAYS^SCOTAIRWAYS^CB
CBE^QA^723^MEXICANA CLICK^MEXICANACLICK^CBE
^CC^374^MACAIR AIRLINES^TRIP^CC
CCA^CA^999^AIR CHINA^AIR CHINA^CCA
CCM^XK^146^AIR CORSICA^CCM AIRLINES^CCM
CCP^MG^0^CHAMPION AIR^MGM GRAND^CCP
LLR^CD^296^ALLIANCE AIR^SEAVIEW AIR^CD
CDG^SC^324^SHANDONG AIRLINES^SHANDONG AIRL^CDG
CLG^CE^980^CHALAIR AVIATION^CHALAIR^CE
CEB^5J^203^CEBU AIR^CEBU AIR^CEB
CES^MU^781^CHINA EASTERN AIRLINES^CHINA EAST^CES
SDR^CF^419^CITY AIRLINE^CITY AIR^CF
CFE^CJ^0^BA CITYFLYER^CHINA NORTH^CFE
CFG^DE^881^CONDOR^CONDOR^CFG
^CG^626^AIRLINES PNG^AIRL. OF PNG^CG
BMJ^CH^872^BEMIDJI AIRLINES^BEMIDJI^CH
CHG^5U^0^ROYAL BELAU AIRWAYS^L A D E^CHG
CHH^HU^880^HAINAN AIRLINES^HAINAN AIR^CHH
CHP^6A^95^AVIACSA^AVIACSA^CHP
CHQ^RP^363^CHAUTAUQUA AIRLINES^^CHQ
CAL^CI^297^CHINA AIRLINES^CHINA AIR^CI
CIM^QI^647^CIMBER STERLING^CIMBER AIR^CIM
CIR^5F^0^ARCTIC CIRCLE AIR^BONAIRE AIR^CIR
CFE^CJ^0^BA CITYFLYER^CHINA NORTH^CJ
CJA^C6^0^CANJET AIRLINES^BRIGHT ARL^CJA
NDR^CK^0^CHINA CARGO AIRLINES^ANDESMAR LIN^CK
CLH^CL^683^LUFTHANSA CITYLINE^TEMPELHOF^CL
CLH^CL^683^LUFTHANSA CITYLINE^TEMPELHOF^CLH
CLW^C0^0^CENTRALWINGS^^CLW
CMP^CM^230^COPA AIRLINES^COPA PANAMENA^CM
CMI^CS^0^CONTINENTAL MICRONESIA^CONTINL MICRO^CMI
CMP^CM^230^COPA AIRLINES^COPA PANAMENA^CMP
^CN^895^GRAND CHINA AIR^GD CHINA AIR^CN
COA^CO^5^CONTINENTAL AIRLINES^CONTINENTAL^CO
COA^CO^5^CONTINENTAL AIRLINES^CONTINENTAL^COA
COM^OH^886^COMAIR INC.^COMAIR^COM
^CP^3^COMPASS AIRLINES^CANADIAN^CP
