#CODE_LIGNE^TYPE^PRIORITAIRE^LATITUDE (WGS84)^LONGITUDE (WGS84)
499500^PN public isolé pour piétons sans portillons^^47.736^-3.37444
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.54306^4.13194
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.535^4.13139
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.52305^4.12694
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.50306^4.10417
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.45389^4.11833
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.45111^4.12139
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.44111^4.12833
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.4375^4.13389
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.42611^4.14944
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.41056^4.16639
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.40555^4.17056
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.39222^4.18944
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.37833^4.20028
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.36944^4.19667
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.34083^4.13444
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.33778^4.12722
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.32833^4.10917
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.32667^4.09944
6000^PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 et SAL 2B^^48.32472^4.095
