#CODE_LIGNE^NOM^NATURE^LATITUDE (WGS84)^LONGITUDE (WGS84)
420000^St-Thégonnec^Desserte Voyageur-Infrastructure^48.49442^-3.94844
420000^Guimiliau^Desserte Voyageur^48.48526^-3.9991
420000^Landivisiau^Desserte Fret-Desserte Voyageur-Infrastructure^48.49615^-4.08188
420000^La Roche^Desserte Voyageur^48.47372^-4.20554
420000^Landerneau^Desserte Fret-Desserte Voyageur-Infrastructure^48.45347^-4.25644
2000^Meilleray^Non exploitée^48.78368^3.41785
2000^Lescherolles^Non exploitée^48.77233^3.34581
2000^La Ferté-Gaucher^Desserte Voyageur-Infrastructure^48.78219^3.2977
2000^Jouy-sur-Morin-Le Marais^Desserte Voyageur^48.79062^3.27351
2000^St-Siméon^Desserte Voyageur^48.79925^3.20855
2000^Chailly-Boissy-Le Châtel^Desserte Voyageur^48.81427^3.15193
2000^Coulommiers^Desserte Fret-Desserte Voyageur-Infrastructure^48.80765^3.08184
2000^Mouroux^Desserte Voyageur^48.81328^3.04473
2000^Faremoutiers-Pommeuse^Desserte Voyageur^48.80855^2.99341
2000^Guérard-La Celle-sur-Morin^Desserte Voyageur^48.81043^2.95464
2000^Dammartin-Tigeaux^Non exploitée^48.8106^2.92573
2000^Mortcerf^Desserte Voyageur-Infrastructure^48.78912^2.90774
2000^La Houssaye-Crèvecoeur^Non exploitée^48.75461^2.88346
2000^Marles-en-Brie^Desserte Fret-Desserte Voyageur-Infrastructure^48.73427^2.8675
2000^Tournan^Desserte Fret-Desserte Voyageur-Infrastructure^48.73931^2.75957
1379^Magenta^Desserte Voyageur-Infrastructure^48.88034^2.35837
1000^Mulhouse-Ville^Desserte Fret-Desserte Voyageur-Infrastructure^47.74199^7.34344
1000^Hasenrain^Desserte Voyageur^47.73558^7.32946
1000^Brunstatt^Desserte Voyageur^47.71979^7.31414
1000^Flaxlanden^Desserte Voyageur^47.69845^7.30421
1000^Zillisheim^Desserte Voyageur^47.69434^7.2945
1000^Illfurth^Desserte Voyageur^47.67603^7.26818
1000^Tagolsheim^Desserte Voyageur^47.65482^7.26391
1000^Walheim^Desserte Voyageur^47.64179^7.26316
1000^Altkirch^Desserte Fret-Desserte Voyageur-Infrastructure^47.6271^7.23959
1000^Ballersdorf^Desserte Voyageur^47.61985^7.15515
1000^Dannemarie^Desserte Voyageur-Infrastructure^47.62741^7.1239
