#Nom de la gare^Type^Région^Latitude^Longitude
Arras^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.28671^2.78190
Arrou^Gare Ferroviaire de Voyageurs^Centre^48.10051^1.12920
Ars-sur-Moselle^Gare Ferroviaire de Voyageurs^Lorraine^49.07445^6.07848
Artenay (Loiret)^Gare Ferroviaire de Voyageurs^Centre^48.08095^1.88303
Artix^Gare Ferroviaire de Voyageurs^Aquitaine^43.39205^-0.57055
Arvant^Gare Ferroviaire de Voyageurs^Auvergne^45.36615^3.31097
Ascq^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.62197^3.15902
Asnières-sur-Seine^Gare Ferroviaire de Voyageurs^Ile de France^48.90530^2.28378
Aspres-sur-Buëch^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^44.51904^5.75470
Assat^Gare Ferroviaire de Voyageurs^Aquitaine^43.25464^-0.29521
Assier^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^44.67367^1.87073
Athis-Mons^Gare Ferroviaire de Voyageurs^Ile de France^48.71235^2.40310
Aubagne^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.29607^5.56632
Aubazine-St-Hilaire^Gare Ferroviaire de Voyageurs^Limousin^45.18177^1.64173
Aubergenville-Élisabethville^Gare Ferroviaire de Voyageurs^Ile de France^48.97187^1.84768
Aubervilliers-La Courneuve^Gare Ferroviaire de Voyageurs^Ile de France^48.92410^2.38554
Aubiat^Gare Ferroviaire de Voyageurs^Auvergne^45.98402^3.16031
Aubie-St-Antoine^Gare Ferroviaire de Voyageurs^Aquitaine^45.01507^-0.41969
Aubiet^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.65016^0.78920
Aubigné-Racan^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.68669^0.26655
Aubigny-au-Bac^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.26847^3.15854
Aubigny-en-Artois^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.35307^2.59286
Aubin^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^44.52729^2.23902
Aubin-St-Vaast^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.39410^1.97105
Auboué^Gare Ferroviaire de Voyageurs^Lorraine^49.21631^5.97156
Aubrives^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^50.10360^4.76085
Aubusson^Gare Ferroviaire de Voyageurs^Limousin^45.96092^2.16050
Auch^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.64739^0.59707
Auchy-lès-Hesdin^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.39213^2.08842
Audrieu^Gare Ferroviaire de Voyageurs^Basse-Normandie^49.21610^-0.59646
Audruicq^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.87535^2.07735
Audun-le-Roman^Gare Ferroviaire de Voyageurs^Lorraine^49.36646^5.89138
Audun-le-Tiche^Gare Ferroviaire de Voyageurs^Lorraine^49.47808^5.95760
Auffay^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.71599^1.09820
Augy-Vaux^Gare Ferroviaire de Voyageurs^Bourgogne^47.76632^3.61100
Aulnay-sous-Bois^Gare Ferroviaire de Voyageurs^Ile de France^48.93212^2.49454
Aulnoye-Aymeries^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.19721^3.84375
Aumale^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.76476^1.75613
Aumont-Aubrac^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.71675^3.28521
Auneau^Gare Ferroviaire de Voyageurs^Centre^48.44545^1.77976
Auray^Gare Ferroviaire de Voyageurs^Bretagne^47.68012^-2.99919
Aurec^Gare Ferroviaire de Voyageurs^Auvergne^45.37116^4.19833
Aurillac^Gare Ferroviaire de Voyageurs^Auvergne^44.92075^2.43563
Auterive^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.34884^1.46863
Autun^Gare Ferroviaire de Voyageurs^Bourgogne^46.95526^4.29297
