#UIC_CODE,DESCRIPTION,NLS_CODE,PHYSICAL,
8711750,VAUDRECHING,FRANT,Y
8711751,ALZING,FRANU,Y
8711756,VILLETTE,FRANY,Y
8711757,COLMEY FLABEUVILLE,FRANZ,Y
8711759,MONTIGNY SUR CHIERS,FRAOA,Y
8711760,LEXY,FRAOB,Y
8711761,INGOLSHEIM,FRAOC,Y
8711762,HERMERSWILLER,FRAOD,Y
8711763,KUTZENHAUSEN,FRAOE,Y
8711764,OBERKUTZENHAUSEN,FRAOF,Y
8711765,MERKWILLER PECHELBRONN,FRAOG,Y
8711768,HERTZING,FRAOH,Y
8711769,BEBING,FRAOI,Y
8711774,COMPERTRIX,FRAOJ,Y
8711775,COOLUS,FRAOK,Y
8711778,DROUILLY,FRAOM,Y
8711779,ST MARTIN AUX CHAMPS,FRAOO,Y
8711790,BOUILLY MAIRIE,FRAOP,Y
8711791,CHAMOY CARREFOUR D1/D23,FRAOQ,Y
8711792,JEUGNY EGLISE,FRAOR,Y
8711793,MONTIGNY LES MONTS MAIRIE,FRAOS,Y
8711794,ST GERMAIN MAIRIE AUBE,FRAOT,Y
8711795,ST JEAN DE BONNEVAL EGLISE,FRAOU,Y
8711796,ST PHAL MONUMENT AUX MORTS,FRAOV,Y
8711797,VILLERY,FRAOW,Y
8711798,NEUVY SAUTOUR RN,FRAOX,Y
8711799,BRIENON MAIRIE,FRAOY,Y
8711800,TROYES,FRQYR,Y
8711806,ST LYE,FRAPA,Y
8711807,PAYNS,FRAPB,Y
8711808,SAVIERES,FRAPC,Y
8711809,ST MESMIN,FRAPD,Y
8711811,VALLANT ST GEORGES,FRAPE,Y
8711813,CHATRES,FRAPG,Y
8711814,MAIZIERES LA GRANDE PAROISSE,FRAPH,Y
8711815,ROMILLY SUR SEINE,FRAPI,Y
8711816,CRANCEY,FRAPJ,Y
8711817,PONT SUR SEINE,FRAPK,Y
8711818,MARNAY SUR SEINE,FRAPL,Y
8711819,NOGENT SUR SEINE,FRAPM,Y
8711825,VENDEUVRE,FRAPU,Y
8711829,BAR SUR AUBE,FRAPX,Y
8711841,ERVY LE CHATEL GARE,FRVYG,Y
8711861,ST FLORENTIN HOTEL DE VILLE,FRAQV,Y
8711862,LAROCHE MIGENNES HOTEL TERMIN,FRAQW,Y
8712404,LE CAOULET,FROLT,Y
8712405,ARTIGUES             47,FRTGS,Y
8712406,LA CROIX BLANCHE,FRRXB,Y
8712407,ST ANTOINE DE FICALBA,FRSAF,Y
8712492,AEROPORT ORLY VAL,FROYV,Y
8712792,ORLYVAL 94,FRJDR,Y
8713085,ST GIRONS CAPOTS,FRUDO,Y
8713086,AIGUES VIVES 09,FRUNV,Y
8713196,BRION MONTREAL LA CLUSE,FRRTC,Y
8713429,ROUVRAY,FRRVY,Y
8713434,LES PEGAUX,FRPEX,Y
8713435,LA TUQUE,FRTUQ,Y
8713436,BARBONVIELLE,FRVBB,Y
8713438,LE SEILHAN,FRSHN,Y
8713439,GALIMAS,FRMGS,Y
8713441,MONBALEN,FRMBL,Y
8713744,ORLEANS GARE ROUTIERE,FROGR,Y
8713745,LA SOURCE UNIVERSITE,FRLSU,Y
8713780,DREUX GARE ROUTIERE,FRDRG,Y
8713781,CHARTRES GARE ROUTIERE,FRCTG,Y
8713848,LA TRIVALLE (RN88/D64),FRUBT,Y
8713950,TROYES ST MARTIN/DELAUNAY,FRTMD,Y
8713951,LA CHAPELLE ST LUC SALENGRO,FRLUC,Y
8713952,BARBEREY CENTRE COMMERCIAL,FRSLP,Y
8713953,BARBEREY ROUTE DE MERY,FRBMY,Y
8713955,MESGRIGNY,FRMGY,Y
8713956,MERY SUR SEINE,FRMYS,Y
