#office_id	name
CPHNA28AD	AMERICAN EXPRESS
CPHNA28AJ	AMERICAN EXPRESS
CPHNA28AP	AMERICAN EXPRESS
CPHNA28AU	AMERICAN EXPRESS
CPHNA28CJ	AMERICAN EXPRESS
OSLNA2801	AMERICAN EXPRESS
OSLNA2802	AMERICAN EXPRESS
OSLNA28AB	AMERICAN EXPRESS
OSLNA28AC	AMERICAN EXPRESS
OSLNA28AE	AMERICAN EXPRESS
OSLNA28AJ	AMERICAN EXPRESS
OSLNA28AM	AMERICAN EXPRESS
OSLNA28AN	AMERICAN EXPRESS
OSLNA28AP	AMERICAN EXPRESS
OSLNA28AS	AMERICAN EXPRESS
STONA2801	AMERICAN EXPRESS
STONA28AB	AMERICAN EXPRESS
STONA28AE	AMERICAN EXPRESS
STONA28AG	AMERICAN EXPRESS
STONA28AL	AMERICAN EXPRESS
STONA28AN	AMERICAN EXPRESS
STONA28AQ	AMERICAN EXPRESS
STONA28AR	AMERICAN EXPRESS
STONA28AS	AMERICAN EXPRESS
STONA28AT	AMERICAN EXPRESS
STONA28AZ	AMERICAN EXPRESS
STONA28BA	AMERICAN EXPRESS
STONA28BD	AMERICAN EXPRESS
STONA28BF	AMERICAN EXPRESS
STONA28BL	AMERICAN EXPRESS
STONA28BM	AMERICAN EXPRESS
STONA28BQ	AMERICAN EXPRESS
STONA28BS	AMERICAN EXPRESS
STONA28BT	AMERICAN EXPRESS
STONA28BU	AMERICAN EXPRESS
STONA28BV	AMERICAN EXPRESS
CPHNA28AA	AMERICAN EXPRESS
CPHNA28AE	AMERICAN EXPRESS
CPHNA28AH	AMERICAN EXPRESS
CPHNA28AK	AMERICAN EXPRESS
CPHNA28AL	AMERICAN EXPRESS
CPHNA28AM	AMERICAN EXPRESS
CPHNA28AN	AMERICAN EXPRESS
OSLNA28AA	AMERICAN EXPRESS
OSLNA28AG	AMERICAN EXPRESS
OSLNA28AK	AMERICAN EXPRESS
OSLNA28AQ	AMERICAN EXPRESS
STONA2802	AMERICAN EXPRESS
STONA28AM	AMERICAN EXPRESS
STONA28AV	AMERICAN EXPRESS
STONA28BE	AMERICAN EXPRESS
STONA28BK	AMERICAN EXPRESS
STONA28BN	AMERICAN EXPRESS
STONA28ZZ	AMERICAN EXPRESS
VIEAX28AE	AMERICAN EXPRESS
BERLW21BJ	AMERICAN EXPRESS
ZRHAX28AB	AMERICAN EXPRESS
HAMAX28AS	AMERICAN EXPRESS
FRAAX28AP	AMERICAN EXPRESS
AMSAX28AX	AMERICAN EXPRESS
AMSAX28RB	AMERICAN EXPRESS
FRAAX28AY	AMERICAN EXPRESS
FRAAX28AZ	AMERICAN EXPRESS
NCEHX28AC	AMERICAN EXPRESS
